paper_trade_id,leg_count
ase_pt_304246ad516046d6,2
ase_pt_305c8be299544ad0,2
ase_pt_30c9f7f099f04656,2
ase_pt_3159c7198f9847ca,4
ase_pt_31a61421b62646dc,1
ase_pt_32186d8d86644d8a,4
ase_pt_323b41a676d94132,2
ase_pt_328f936a7b994ec1,2
ase_pt_32ac03879c054b1d,1
ase_pt_32be02a6f8b348be,4
ase_pt_335da21099bf469e,3
ase_pt_3364009d64af4768,2
ase_pt_341bcf3e6977437d,4
ase_pt_341ee9bd107947a6,2
ase_pt_348d05419ab448e7,2
ase_pt_34b7749cae3b494d,4
ase_pt_35adba2d503446d4,2
ase_pt_35fc776144e54a4b,1
ase_pt_3632906f3796405f,3
ase_pt_364e2c86c1d6469d,2
ase_pt_36741c707c0f4b62,2
ase_pt_36c1bab4acbe416d,2
ase_pt_36e8e261e3e1469f,2
ase_pt_374d35422d344aa3,1
ase_pt_3795820de110476a,1
ase_pt_3847e37dbe01457c,2
ase_pt_38c8440699ab4e45,2
ase_pt_390ae52392654d73,4
ase_pt_392c2cc71b23483b,2
ase_pt_3a461d2fa135461e,2
ase_pt_3a64d9fcbff1414d,2
ase_pt_3b1a8014c6fc4dd2,2
ase_pt_3ba61bac1a2f4d53,4
ase_pt_3bcc9c0b31ff49f3,4
ase_pt_3bda863231e14809,2
ase_pt_3c3d96cd00fa4b9f,4
ase_pt_3c7ddbca75b940eb,2
ase_pt_3c868bba84d748be,4
ase_pt_3ca0620c4cef4d6f,1
ase_pt_3cb297ccec4d4a6f,2
ase_pt_3d55b52d40e74304,4
ase_pt_3e1833f415fd414f,3
ase_pt_3e3127f519aa4b36,2
ase_pt_3e339a7a3cdc4e44,2
ase_pt_3f0dc8b2a4fd4917,3
ase_pt_3f2458b9297a4ad0,8
ase_pt_3f620ebb349a4df9,4
ase_pt_3fc17c17f0ee41d0,3
ase_pt_3fea564c077e49df,2
ase_pt_40462d8d32c14ee9,4
ase_pt_40905bcdfaae4348,2
ase_pt_40a66873201c42c8,2
ase_pt_40bdf8a07f154dda,2
ase_pt_413893ee62984e99,2
ase_pt_413ea62f4d2f4494,2
ase_pt_41a973774616430c,4
ase_pt_41fa6adf243d4784,4
ase_pt_420f5395718a4e36,2
ase_pt_422c7e1be7ac41bc,2
ase_pt_425af45e774a4d75,2
ase_pt_426097d373aa4fbd,2
ase_pt_426a457a5c514b82,2
ase_pt_43b493247bb548cc,5
ase_pt_43c4c77038f3406c,2
ase_pt_441256588f4a4d41,2
ase_pt_44733944cf074383,4
ase_pt_44cb1b0418044113,2
ase_pt_44e3a8804a2a4988,4
ase_pt_45331c229b7c4d18,1
ase_pt_458f750d5f74431b,4
ase_pt_45c6ec985311418b,2
ase_pt_468a12d81bfa4bbe,2
ase_pt_471b2b947e7240f9,4
ase_pt_476a12c189d04554,2
ase_pt_47b045d3637a422d,2
ase_pt_48205beec76749a1,3
ase_pt_488e81b05e3546f2,2
ase_pt_48c41c48d3a14ba2,3
ase_pt_48e071537e064f17,2
ase_pt_490447f9a8614b5a,2
ase_pt_492673dfeb9d4bb4,2
ase_pt_496875cb2f7d476e,4
ase_pt_4a4131e4b37349c8,2
ase_pt_4a42f6e79939477c,4
ase_pt_4a733320cf6c430b,2
ase_pt_4a739bd10d40478e,2
ase_pt_4b4633b31af942dc,2
