id,paper_trade_id,mid_status,delta_status,ratio_status
85,ase_pt_f81f75f7f93c45bd,NOT NULL,NOT NULL,NOT NULL
86,ase_pt_128484047a824332,NOT NULL,NOT NULL,NOT NULL
87,ase_pt_128484047a824332,NOT NULL,NOT NULL,NOT NULL
88,ase_pt_ea65248f920c4afd,NOT NULL,NOT NULL,NOT NULL
89,ase_pt_ea65248f920c4afd,NOT NULL,NOT NULL,NOT NULL
90,ase_pt_0b70f91107a2450c,NOT NULL,NOT NULL,NOT NULL
91,ase_pt_0b70f91107a2450c,NOT NULL,NOT NULL,NOT NULL
92,ase_pt_14f3d29356e1406e,NOT NULL,NOT NULL,NOT NULL
93,ase_pt_14f3d29356e1406e,NOT NULL,NOT NULL,NOT NULL
94,ase_pt_bacc84d4772d447c,NOT NULL,NOT NULL,NOT NULL
95,ase_pt_bacc84d4772d447c,NOT NULL,NOT NULL,NOT NULL
96,ase_pt_bacc84d4772d447c,NOT NULL,NOT NULL,NOT NULL
97,ase_pt_d08c204af0aa4d79,NOT NULL,NOT NULL,NOT NULL
98,ase_pt_d08c204af0aa4d79,NOT NULL,NOT NULL,NOT NULL
99,ase_pt_d08c204af0aa4d79,NOT NULL,NOT NULL,NOT NULL
100,ase_pt_d08c204af0aa4d79,NOT NULL,NOT NULL,NOT NULL
101,ase_pt_413ea62f4d2f4494,NOT NULL,NOT NULL,NOT NULL
102,ase_pt_413ea62f4d2f4494,NOT NULL,NOT NULL,NOT NULL
103,ase_pt_441256588f4a4d41,NOT NULL,NOT NULL,NOT NULL
104,ase_pt_441256588f4a4d41,NOT NULL,NOT NULL,NOT NULL
105,ase_pt_e5231e71990f4568,NOT NULL,NOT NULL,NOT NULL
106,ase_pt_e5231e71990f4568,NOT NULL,NOT NULL,NOT NULL
107,ase_pt_e5231e71990f4568,NOT NULL,NOT NULL,NOT NULL
108,ase_pt_31a61421b62646dc,NOT NULL,NOT NULL,NOT NULL
109,ase_pt_82123c62b1164c60,NOT NULL,NOT NULL,NOT NULL
110,ase_pt_3795820de110476a,NOT NULL,NOT NULL,NOT NULL
111,ase_pt_b81ee0040f7d4f04,NOT NULL,NOT NULL,NOT NULL
112,ase_pt_09120c21e9ab423c,NOT NULL,NOT NULL,NOT NULL
113,ase_pt_5777f328ee784956,NOT NULL,NOT NULL,NOT NULL
114,ase_pt_2131ca79b52849e6,NOT NULL,NOT NULL,NOT NULL
115,ase_pt_2131ca79b52849e6,NOT NULL,NOT NULL,NOT NULL
116,ase_pt_426a457a5c514b82,NOT NULL,NOT NULL,NOT NULL
117,ase_pt_426a457a5c514b82,NOT NULL,NOT NULL,NOT NULL
118,ase_pt_ab7790faa1c546cf,NOT NULL,NOT NULL,NOT NULL
119,ase_pt_ab7790faa1c546cf,NOT NULL,NOT NULL,NOT NULL
120,ase_pt_90aebf88d50e4c5e,NOT NULL,NOT NULL,NOT NULL
121,ase_pt_90aebf88d50e4c5e,NOT NULL,NOT NULL,NOT NULL
122,ase_pt_81d385620a0340d0,NOT NULL,NOT NULL,NOT NULL
123,ase_pt_81d385620a0340d0,NOT NULL,NOT NULL,NOT NULL
124,ase_pt_259c9ec7c0bb44ad,NOT NULL,NOT NULL,NOT NULL
125,ase_pt_259c9ec7c0bb44ad,NOT NULL,NOT NULL,NOT NULL
126,ase_pt_efe0d09f127f4b5e,NOT NULL,NOT NULL,NOT NULL
127,ase_pt_efe0d09f127f4b5e,NOT NULL,NOT NULL,NOT NULL
128,ase_pt_8fc139721c9c4d94,NOT NULL,NOT NULL,NOT NULL
129,ase_pt_8fc139721c9c4d94,NOT NULL,NOT NULL,NOT NULL
130,ase_pt_3c7ddbca75b940eb,NOT NULL,NOT NULL,NOT NULL
131,ase_pt_3c7ddbca75b940eb,NOT NULL,NOT NULL,NOT NULL
132,ase_pt_0ee34056a5ba483e,NOT NULL,NOT NULL,NOT NULL
133,ase_pt_0ee34056a5ba483e,NOT NULL,NOT NULL,NOT NULL
134,ase_pt_bda5c6e34e8646be,NOT NULL,NOT NULL,NOT NULL
135,ase_pt_bda5c6e34e8646be,NOT NULL,NOT NULL,NOT NULL
136,ase_pt_549092c247454f84,NOT NULL,NOT NULL,NOT NULL
137,ase_pt_549092c247454f84,NOT NULL,NOT NULL,NOT NULL
138,ase_pt_19d58ab0083c4d4e,NOT NULL,NOT NULL,NOT NULL
139,ase_pt_19d58ab0083c4d4e,NOT NULL,NOT NULL,NOT NULL
