entry_date,exit_date,spot,exp_near,legs,entry_val,exit_val,pnl,exit_reason,mult,tp_pct,sl_pct,premium_basis,strategy
2025-09-08,2025-09-09,648.83,2025-10-03,1xO:SPY251003C00647000 | -2xO:SPY251003C00649000 | 1xO:SPY251003C00651000,-2.0,5.0,7.0,TP_200PCT,1,200,0.0,2.0,Narrow-Wing Butterfly
2025-09-15,2025-09-17,660.91,2025-10-10,1xO:SPY251010C00659000 | -2xO:SPY251010C00661000 | 1xO:SPY251010C00663000,-1.0,26.0,27.0,TP_200PCT,1,200,0.0,1.0,Narrow-Wing Butterfly
2025-09-22,2025-10-17,666.84,2025-10-17,10xO:SPY251017C00665000 | -20xO:SPY251017C00667000 | 10xO:SPY251017C00669000,480.0,160.0,-320.0,EXPIRY_FLATTEN,10,200,0.0,480.0,Narrow-Wing Butterfly
2025-09-29,2025-09-30,663.68,2025-10-24,1xO:SPY251024C00662000 | -2xO:SPY251024C00664000 | 1xO:SPY251024C00666000,-15.0,55.0,70.0,TP_200PCT,1,200,0.0,15.0,Narrow-Wing Butterfly
2025-10-06,2025-10-28,671.61,2025-10-31,29xO:SPY251031C00670000 | -58xO:SPY251031C00672000 | 29xO:SPY251031C00674000,493.0,3016.0,2523.0,TP_200PCT,29,200,0.0,493.0,Narrow-Wing Butterfly
2025-10-13,2025-11-05,663.04,2025-11-07,50xO:SPY251107C00661000 | -100xO:SPY251107C00663000 | 50xO:SPY251107C00665000,500.0,7550.0,7050.0,TP_200PCT,50,200,0.0,500.0,Narrow-Wing Butterfly
2025-10-20,2025-11-14,671.3,2025-11-14,5xO:SPY251114C00669000 | -10xO:SPY251114C00671000 | 5xO:SPY251114C00673000,445.0,355.0,-90.0,EXPIRY_FLATTEN,5,200,0.0,445.0,Narrow-Wing Butterfly
2025-10-27,2025-10-29,685.24,2025-11-21,26xO:SPY251121C00683000 | -52xO:SPY251121C00685000 | 26xO:SPY251121C00687000,494.0,4264.0,3770.0,TP_200PCT,26,200,0.0,494.0,Narrow-Wing Butterfly
2025-11-03,2025-11-28,683.34,2025-11-28,25xO:SPY251128C00681000 | -50xO:SPY251128C00683000 | 25xO:SPY251128C00685000,500.0,4725.0,4225.0,TP_200PCT,25,200,0.0,500.0,Narrow-Wing Butterfly
2025-11-10,2025-11-13,681.44,2025-12-05,1xO:SPY251205C00679000 | -2xO:SPY251205C00681000 | 1xO:SPY251205C00683000,-20.0,83.0,103.0,TP_200PCT,1,200,0.0,20.0,Narrow-Wing Butterfly
