entry_date,exit_date,spot,exp_near,legs,entry_val,exit_val,pnl,exit_reason,mult,tp_pct,sl_pct,premium_basis,strategy
2025-09-22,2025-10-17,666.84,2025-10-17,6xO:SPY251017C00662000 | -12xO:SPY251017C00667000 | 6xO:SPY251017C00672000,474.0,1758.0,1284.0,TP_100PCT,6,100,,474.0,06_long_call_butterfly
2025-09-29,2025-09-30,663.68,2025-10-24,1xO:SPY251024C00659000 | -2xO:SPY251024C00664000 | 1xO:SPY251024C00669000,-50.0,225.0,275.0,TP_100PCT,1,100,,50.0,06_long_call_butterfly
2025-10-06,2025-10-16,671.61,2025-10-31,11xO:SPY251031C00667000 | -22xO:SPY251031C00672000 | 11xO:SPY251031C00677000,462.0,1122.0,660.0,TP_100PCT,11,100,,462.0,06_long_call_butterfly
2025-10-13,2025-10-14,663.04,2025-11-07,11xO:SPY251107C00658000 | -22xO:SPY251107C00663000 | 11xO:SPY251107C00668000,484.0,1683.0,1199.0,TP_100PCT,11,100,,484.0,06_long_call_butterfly
2025-10-20,2025-10-30,671.3,2025-11-14,5xO:SPY251114C00666000 | -10xO:SPY251114C00671000 | 5xO:SPY251114C00676000,495.0,1110.0,615.0,TP_100PCT,5,100,,495.0,06_long_call_butterfly
2025-10-27,2025-11-06,685.24,2025-11-21,13xO:SPY251121C00680000 | -26xO:SPY251121C00685000 | 13xO:SPY251121C00690000,468.0,936.0,468.0,TP_100PCT,13,100,,468.0,06_long_call_butterfly
2025-11-03,2025-11-26,683.34,2025-11-28,7xO:SPY251128C00678000 | -14xO:SPY251128C00683000 | 7xO:SPY251128C00688000,441.0,1547.0,1106.0,TP_100PCT,7,100,,441.0,06_long_call_butterfly
2025-11-10,2025-11-11,681.44,2025-12-05,1xO:SPY251205C00676000 | -2xO:SPY251205C00681000 | 1xO:SPY251205C00686000,-38.0,13.0,51.0,TP_100PCT,1,100,,38.0,06_long_call_butterfly
2025-11-17,2025-12-12,665.67,2025-12-12,1xO:SPY251212C00661000 | -2xO:SPY251212C00666000 | 1xO:SPY251212C00671000,298.0,-29.0,-327.0,EXPIRY_FLATTEN,1,100,,298.0,06_long_call_butterfly
2025-11-24,2025-12-15,668.73,2025-12-19,9xO:SPY251219C00664000 | -18xO:SPY251219C00669000 | 9xO:SPY251219C00674000,477.0,1422.0,945.0,TP_100PCT,9,100,,477.0,06_long_call_butterfly
