TOTAL ROWS: 116
pattern_name                                            cat              dir      ena   status                 prec    rec    fpr    fnr     n
diamond_bottom                                          CHART_STRUCTURE  BULLISH  True  PASS                  0.521  0.028  0.024  0.972   188
diamond_top                                             CHART_STRUCTURE  BEARISH  False FAIL                  0.436  0.006  0.009  0.994    55
double_bottom                                           CHART_STRUCTURE  BULLISH  False FAIL                  0.485  0.186  0.182  0.814  1342
double_top                                              CHART_STRUCTURE  BEARISH  False FAIL                  0.493  0.212  0.220  0.788  1577
exhaustion_gap_down                                     CHART_STRUCTURE  BULLISH  False FAIL                  0.490  0.037  0.035  0.963   263
exhaustion_gap_up                                       CHART_STRUCTURE  BEARISH  True  PASS                  0.584  0.040  0.029  0.960   250
flag_or_pennant                                         CHART_STRUCTURE  BOTH     True  PASS                  0.976  0.051  0.066  0.949   378
head_and_shoulders                                      CHART_STRUCTURE  BEARISH  False FAIL                  0.448  0.023  0.029  0.977   192
inverse_head_and_shoulders                              CHART_STRUCTURE  BULLISH  False FAIL                  0.489  0.025  0.024  0.975   176
inverted_cup_and_handle                                 CHART_STRUCTURE  BEARISH  True  PASS                  0.500  0.026  0.026  0.974   188
island_reversal_bearish                                 CHART_STRUCTURE  BEARISH  True  PASS                  0.611  0.003  0.002  0.997    18
island_reversal_bullish                                 CHART_STRUCTURE  BULLISH  True  PASS                  0.500  0.002  0.002  0.998    12
measured_move_down                                      CHART_STRUCTURE  BEARISH  False FAIL                  0.494  0.506  0.524  0.494  3760
measured_move_up                                        CHART_STRUCTURE  BULLISH  False FAIL                  0.486  0.513  0.499  0.487  3692
rounded_bottom                                          CHART_STRUCTURE  BULLISH  False FAIL                  0.458  0.039  0.042  0.961   295
rounded_top                                             CHART_STRUCTURE  BEARISH  False FAIL                  0.498  0.039  0.040  0.961   289
runaway_gap_down                                        CHART_STRUCTURE  BEARISH  False FAIL                  0.470  0.051  0.059  0.949   402
runaway_gap_up                                          CHART_STRUCTURE  BULLISH  False FAIL                  0.458  0.061  0.067  0.939   469
triangle_ascending                                      CHART_STRUCTURE  BULLISH  True  PASS                  0.507  0.061  0.055  0.939   422
triangle_descending                                     CHART_STRUCTURE  BEARISH  False FAIL                  0.484  0.048  0.052  0.952   366
triangle_symmetrical                                    CHART_STRUCTURE  NEUTRAL  True  PASS                  0.988  0.023  0.015  0.977   166
triple_bottom                                           CHART_STRUCTURE  BULLISH  False FAIL                  0.474  0.039  0.039  0.961   285
triple_top                                              CHART_STRUCTURE  BEARISH  True  PASS                  0.505  0.043  0.042  0.958   309
wedge_falling                                           CHART_STRUCTURE  BULLISH  False FAIL                  0.443  0.050  0.058  0.950   393
wedge_rising                                            CHART_STRUCTURE  BEARISH  True  PASS                  0.502  0.056  0.056  0.944   406
elliott_abc                                             ELLIOTT_WAVE     BOTH     True  PASS                  0.981  0.834  0.860  0.166  6089
elliott_double_three                                    ELLIOTT_WAVE     BOTH     True  PASS                  0.975  0.130  0.176  0.870   955
elliott_flat                                            ELLIOTT_WAVE     BOTH     True  PASS                  0.979  0.172  0.191  0.828  1257
elliott_impulse                                         ELLIOTT_WAVE     BOTH     True  PASS                  0.986  0.048  0.037  0.952   351
elliott_triangle                                        ELLIOTT_WAVE     BOTH     True  PASS                  0.976  0.056  0.073  0.944   409
elliott_triple_three                                    ELLIOTT_WAVE     BOTH     True  PASS                  0.977  0.030  0.037  0.970   219
elliott_zigzag                                          ELLIOTT_WAVE     BOTH     True  PASS                  0.977  0.047  0.059  0.953   344
harmonic_abcd                                           HARMONIC         BOTH     True  PASS                  0.988  0.045  0.029  0.955   324
harmonic_bat                                            HARMONIC         BOTH     False INSUFFICIENT_DATA     0.000  0.000  0.000  0.000     0
harmonic_butterfly                                      HARMONIC         BOTH     False INSUFFICIENT_DATA     0.000  0.000  0.000  0.000     0
harmonic_crab                                           HARMONIC         BOTH     False INSUFFICIENT_DATA     0.000  0.000  0.000  0.000     0
harmonic_cypher                                         HARMONIC         BOTH     False INSUFFICIENT_DATA     0.000  0.000  0.000  0.000     0
harmonic_deep_crab                                      HARMONIC         BOTH     True  PASS                  1.000  0.002  0.000  0.999    11
harmonic_gartley                                        HARMONIC         BOTH     False INSUFFICIENT_DATA     0.000  0.000  0.000  0.000     0
harmonic_shark                                          HARMONIC         BOTH     True  PASS                  0.962  0.004  0.007  0.997    26
harmonic_three_drives                                   HARMONIC         BOTH     True  PASS                  0.938  0.002  0.007  0.998    16
vpa_effort_vs_result                                    VPA              BOTH     True  PASS                  1.000  0.001  0.000  0.999     7
vpa_no_demand                                           VPA              BEARISH  True  PASS                  0.539  0.095  0.082  0.905   648
vpa_no_supply                                           VPA              BULLISH  True  PASS                  0.500  0.094  0.086  0.906   658
vpa_shakeout                                            VPA              BULLISH  False FAIL                  0.473  0.007  0.008  0.993    55
vpa_stopping_volume                                     VPA              BULLISH  False FAIL                  0.462  0.002  0.002  0.998    13
vpa_volume_climax                                       VPA              BOTH     True  PASS                  0.982  0.023  0.022  0.977   169
vpa_volume_dryup                                        VPA              BOTH     True  PASS                  0.970  0.036  0.059  0.964   267
wyckoff_accumulation                                    WYCKOFF          BULLISH  True  PASS                  0.500  0.042  0.039  0.958   294
wyckoff_buying_climax                                   WYCKOFF          BEARISH  True  PASS                  0.581  0.007  0.005  0.993    43
wyckoff_distribution                                    WYCKOFF          BEARISH  False FAIL                  0.476  0.038  0.042  0.962   294
wyckoff_selling_climax                                  WYCKOFF          BULLISH  True  PASS                  0.500  0.006  0.005  0.994    40
wyckoff_sos                                             WYCKOFF          BULLISH  False FAIL                  0.472  0.017  0.017  0.983   125
wyckoff_sow                                             WYCKOFF          BEARISH  False FAIL                  0.438  0.011  0.015  0.989    96
wyckoff_spring                                          WYCKOFF          BULLISH  True  PASS                  0.537  0.029  0.023  0.971   188
wyckoff_upthrust                                        WYCKOFF          BEARISH  True  PASS                  0.507  0.028  0.027  0.972   201
